Search Warrant #,Type of Warrant,Date,Address Merged,Address,,,City,State,Country,
12SW4094,SEARCH,9-Jan-12,500 W DELAWARE PL,500,W,DELAWARE PL,CHICAGO,ILLINOIS,USA,Y
12SW4105,SEARCH,10-Jan-12,600 E 50TH PL,600,E,50TH PL,CHICAGO,ILLINOIS,USA,Y
12SW4112,SEARCH,10-Jan-12,3300 W FILLMORE ST,3300,W,FILLMORE ST,CHICAGO,ILLINOIS,USA,N
12SW4113,SEARCH,10-Jan-12,3300 W FILLMORE ST,3300,W,FILLMORE ST,CHICAGO,ILLINOIS,USA,N
12SW4108,SEARCH,10-Jan-12,3600 S LAKE PARK AVE,3600,S,LAKE PARK AVE,CHICAGO,ILLINOIS,USA,Y
12SW4122,SEARCH,10-Jan-12,4500 W WASHINGTON BLVD,4500,W,WASHINGTON BLVD,CHICAGO,ILLINOIS,USA,N
12SW4123,SEARCH,10-Jan-12,4900 W SCHUBERT AVE,4900,W,SCHUBERT AVE,CHICAGO,ILLINOIS,USA,Y
12SW4124,SEARCH,10-Jan-12,6600 S LAFLIN ST,6600,S,LAFLIN ST,CHICAGO,ILLINOIS,USA,Y
12SW4127,SEARCH,10-Jan-12,4700 W WAVELAND AVE,4700,W,WAVELAND AVE,CHICAGO,ILLINOIS,USA,N
12SW4096,SEARCH,10-Jan-12,2900 W WILCOX ST,2900,W,WILCOX ST,CHICAGO,ILLINOIS,USA,Y
12SW4129,SEARCH,10-Jan-12,1900 S TOM PKWY,1900,S,TOM PKWY,CHICAGO,ILLINOIS,USA,Y
12SW4138,SEARCH,11-Jan-12,4500 N CENTRAL PARK AVE,4500,N,CENTRAL PARK AVE,CHICAGO,ILLINOIS,USA,Y
12SW4161,SEARCH,11-Jan-12,7100 S EMERALD AVE,7100,S,EMERALD AVE,CHICAGO,ILLINOIS,USA,Y
12SW4139,SEARCH,11-Jan-12,3400 W WILSON AVE,3400,W,WILSON AVE,CHICAGO,ILLINOIS,USA,N
12SW4160,SEARCH,11-Jan-12,4400 W MONROE ST,4400,W,MONROE ST,CHICAGO,ILLINOIS,USA,N
12SW4156,SEARCH,11-Jan-12,1400 N LECLAIRE AVE,1400,N,LECLAIRE AVE,CHICAGO,ILLINOIS,USA,N
12SW4167,SEARCH,11-Jan-12,1200 S SPAULDING AVE,1200,S,SPAULDING AVE,CHICAGO,ILLINOIS,USA,Y
12SW4100,SEARCH,11-Jan-12,10500 S BENSLEY AVE,10500,S,BENSLEY AVE,CHICAGO,ILLINOIS,USA,Y
12SW4140,SEARCH,11-Jan-12,7200 S MARSHFIELD AVE,7200,S,MARSHFIELD AVE,CHICAGO,ILLINOIS,USA,N
12SW4166,SEARCH,11-Jan-12,0 E 37TH ST,0,E,37TH ST,CHICAGO,ILLINOIS,USA,N
12SW4165,SEARCH,11-Jan-12,0 E 37TH ST,0,E,37TH ST,CHICAGO,ILLINOIS,USA,Y
12SW4097,SEARCH,12-Jan-12,7000 S WENTWORTH AVE,7000,S,WENTWORTH AVE,CHICAGO,ILLINOIS,USA,Y
12SW4107,SEARCH,12-Jan-12,9100 S ADA ST,9100,S,ADA ST,CHICAGO,ILLINOIS,USA,N
12SW4154,SEARCH,12-Jan-12,3300 W FILLMORE ST,3300,W,FILLMORE ST,CHICAGO,ILLINOIS,USA,N
12SW4153,SEARCH,12-Jan-12,3300 W FILLMORE ST,3300,W,FILLMORE ST,CHICAGO,ILLINOIS,USA,N
12SW4150,SEARCH,12-Jan-12,3300 W FILLMORE ST,3300,W,FILLMORE ST,CHICAGO,ILLINOIS,USA,N
12SW4152,SEARCH,12-Jan-12,3300 W FILLMORE ST,3300,W,FILLMORE ST,CHICAGO,ILLINOIS,USA,N
12SW4151,SEARCH,12-Jan-12,3300 W FILLMORE ST,3300,W,FILLMORE ST,CHICAGO,ILLINOIS,USA,N
12SW4155,SEARCH,12-Jan-12,3300 W FILLMORE ST,3300,W,FILLMORE ST,CHICAGO,ILLINOIS,USA,N
12SW4176,SEARCH,12-Jan-12,3300 W FILLMORE ST,3300,W,FILLMORE ST,CHICAGO,ILLINOIS,USA,N
12SW4157,SEARCH,12-Jan-12,6300 S MARSHFIELD AVE,6300,S,MARSHFIELD AVE,CHICAGO,ILLINOIS,USA,N
12SW4147,SEARCH,12-Jan-12,1100 S MOZART ST,1100,S,MOZART ST,CHICAGO,ILLINOIS,USA,N
12SW4183,SEARCH,12-Jan-12,600 S CANAL ST,600,S,CANAL ST,CHICAGO,ILLINOIS,USA,N
12SW4180,SEARCH,12-Jan-12,600 S CANAL ST,600,S,CANAL ST,CHICAGO,ILLINOIS,USA,N
12SW4185,SEARCH,12-Jan-12,600 S CANAL ST,600,S,CANAL ST,CHICAGO,ILLINOIS,USA,N
12SW4182,SEARCH,12-Jan-12,600 S CANAL ST,600,S,CANAL ST,CHICAGO,ILLINOIS,USA,N
12SW4181,SEARCH,12-Jan-12,600 S CANAL ST,600,S,CANAL ST,CHICAGO,ILLINOIS,USA,N
12SW4188,SEARCH,12-Jan-12,6800 S EMERALD AVE,6800,S,EMERALD AVE,CHICAGO,ILLINOIS,USA,N
12SW4169,SEARCH,12-Jan-12,4400 W MAYPOLE AVE,4400,W,MAYPOLE AVE,CHICAGO,ILLINOIS,USA,N
12SW4178,SEARCH,12-Jan-12,4900 S KILDARE AVE,4900,S,KILDARE AVE,CHICAGO,ILLINOIS,USA,Y
12SW4192,SEARCH,12-Jan-12,5100 S ROCKWELL ST,5100,S,ROCKWELL ST,CHICAGO,ILLINOIS,USA,N
12SW4136,SEARCH,12-Jan-12,8000 S ELLIS AVE,8000,S,ELLIS AVE,CHICAGO,ILLINOIS,USA,Y
